node,x_m,y_m,z_m,x_mesh,y_mesh,z_mesh,psi_J,psi_eV,psi_meV
0,-0.00012102190046718216,9.802731992292161e-08,7.844341574844306e-05,-0.12102190046718216,9.802731992292161e-05,0.07844341574844306,1.383686477420919e-33,0.00031177013055163044,0.31177013055163044
1,-0.00013330339019879288,9.802731992292161e-08,7.844341574844306e-05,-0.13330339019879286,9.802731992292161e-05,0.07844341574844306,5.047336016839999e-35,1.1372580671896379e-05,0.011372580671896379
2,-0.0001455848799304036,9.802731992292161e-08,7.844341574844306e-05,-0.1455848799304036,9.802731992292161e-05,0.07844341574844306,3.4771972778338536e-34,7.834767969147784e-05,0.07834767969147784
3,-0.0001578663696620143,9.802731992292161e-08,7.844341574844306e-05,-0.15786636966201428,9.802731992292161e-05,0.07844341574844306,1.1599064491374072e-33,0.00026134835526418244,0.26134835526418243
4,-0.000170147859393625,9.802731992292161e-08,7.844341574844306e-05,-0.170147859393625,9.802731992292161e-05,0.07844341574844306,1.3730345583378374e-33,0.00030937005636043954,0.3093700563604395
5,-0.00018242934912523573,9.802731992292161e-08,7.844341574844306e-05,-0.18242934912523573,9.802731992292161e-05,0.07844341574844306,2.283177044862864e-33,0.0005144419758124459,0.5144419758124459
6,-0.00019471083885684644,9.802731992292161e-08,7.844341574844306e-05,-0.19471083885684642,9.802731992292161e-05,0.07844341574844306,3.609311743007719e-33,0.000813244627075111,0.813244627075111
7,-0.00020699232858845717,9.802731992292161e-08,7.844341574844306e-05,-0.20699232858845718,9.802731992292161e-05,0.07844341574844306,5.9724190203961066e-33,0.0013456963611934653,1.3456963611934654
8,-0.00021927381832006788,9.802731992292161e-08,7.844341574844306e-05,-0.21927381832006787,9.802731992292161e-05,0.07844341574844306,7.531151537046796e-33,0.0016969075988121627,1.6969075988121627
9,-0.00023155530805167858,9.802731992292161e-08,7.844341574844306e-05,-0.23155530805167857,9.802731992292161e-05,0.07844341574844306,9.886006896866583e-33,0.002227500023426778,2.2275000234267783
10,-0.00024383679778328931,9.802731992292161e-08,7.844341574844306e-05,-0.24383679778328932,9.802731992292161e-05,0.07844341574844306,9.495022670575481e-33,0.002139404052797932,2.139404052797932
11,-0.0002561182875149,9.802731992292161e-08,7.844341574844306e-05,-0.2561182875149,9.802731992292161e-05,0.07844341574844306,9.35645182982074e-33,0.00210818148192098,2.10818148192098
12,-0.0002683997772465107,9.802731992292161e-08,7.844341574844306e-05,-0.2683997772465107,9.802731992292161e-05,0.07844341574844306,7.325597057596184e-33,0.0016505923764409502,1.6505923764409502
13,-0.0002806812669781215,9.802731992292161e-08,7.844341574844306e-05,-0.28068126697812146,9.802731992292161e-05,0.07844341574844306,3.836907731705775e-33,0.0008645262087537003,0.8645262087537003
14,-0.00029296275670973217,9.802731992292161e-08,7.844341574844306e-05,-0.29296275670973215,9.802731992292161e-05,0.07844341574844306,2.1679635409181684e-33,0.0004884822445060441,0.48848224450604416
15,-0.00030524424644134284,9.802731992292161e-08,7.844341574844306e-05,-0.30524424644134285,9.802731992292161e-05,0.07844341574844306,1.734061662479602e-32,0.003907161338336784,3.9071613383367843
16,-0.00031752573617295363,9.802731992292161e-08,7.844341574844306e-05,-0.3175257361729536,9.802731992292161e-05,0.07844341574844306,3.9664837966843313e-32,0.008937220904465167,8.937220904465168
17,-0.0003298072259045643,9.802731992292161e-08,7.844341574844306e-05,-0.3298072259045643,9.802731992292161e-05,0.07844341574844306,6.034278039985338e-32,0.013596343413123994,13.596343413123993
18,-0.000342088715636175,9.802731992292161e-08,7.844341574844306e-05,-0.342088715636175,9.802731992292161e-05,0.07844341574844306,9.561204568735518e-32,0.021543160573352378,21.543160573352377
19,-0.0003543702053677857,9.802731992292161e-08,7.844341574844306e-05,-0.35437020536778574,9.802731992292161e-05,0.07844341574844306,1.4543055548728323e-31,0.03276819135717669,32.76819135717669
20,-0.00036665169509939645,9.802731992292161e-08,7.844341574844306e-05,-0.36665169509939644,9.802731992292161e-05,0.07844341574844306,1.5135118497713667e-31,0.034102218580193286,34.10221858019329
21,-0.00037893318483100713,9.802731992292161e-08,7.844341574844306e-05,-0.37893318483100713,9.802731992292161e-05,0.07844341574844306,1.5890529452503365e-31,0.035804299043058666,35.80429904305866
22,-0.00039121467456261787,9.802731992292161e-08,7.844341574844306e-05,-0.3912146745626179,9.802731992292161e-05,0.07844341574844306,1.7280963876301859e-31,0.038937204718621374,38.93720471862137
23,-0.0004034961642942286,9.802731992292161e-08,7.844341574844306e-05,-0.4034961642942286,9.802731992292161e-05,0.07844341574844306,1.7903266527282537e-31,0.040339367577801016,40.33936757780101
24,-0.0004157776540258393,9.802731992292161e-08,7.844341574844306e-05,-0.41577765402583927,9.802731992292161e-05,0.07844341574844306,1.7934781287884079e-31,0.04041037615660392,40.410376156603924
25,-0.00042805914375745,9.802731992292161e-08,7.844341574844306e-05,-0.42805914375745,9.802731992292161e-05,0.07844341574844306,1.800984700380921e-31,0.04057951308491699,40.57951308491699
26,-0.00044034063348906074,9.802731992292161e-08,7.844341574844306e-05,-0.4403406334890607,9.802731992292161e-05,0.07844341574844306,1.7972028136070871e-31,0.04049430018788793,40.49430018788793
27,-0.0004526221232206714,9.802731992292161e-08,7.844341574844306e-05,-0.4526221232206714,9.802731992292161e-05,0.07844341574844306,1.7936156918350552e-31,0.04041347570622822,40.41347570622822
28,-0.00046490361295228216,9.802731992292161e-08,7.844341574844306e-05,-0.46490361295228216,9.802731992292161e-05,0.07844341574844306,1.792525682111162e-31,0.04038891577307384,40.38891577307384
29,-0.0004771851026838929,9.802731992292161e-08,7.844341574844306e-05,-0.47718510268389286,9.802731992292161e-05,0.07844341574844306,1.7602135576434574e-31,0.039660863903804015,39.660863903804014
30,-0.0004894665924155035,9.802731992292161e-08,7.844341574844306e-05,-0.48946659241550355,9.802731992292161e-05,0.07844341574844306,1.7527057539727104e-31,0.039491699214491756,39.49169921449175
31,-0.0005017480821471143,9.802731992292161e-08,7.844341574844306e-05,-0.5017480821471143,9.802731992292161e-05,0.07844341574844306,8.763528769863552e-32,0.019745849607245878,19.745849607245876
32,-0.000514029571878725,9.802731992292161e-08,7.844341574844306e-05,-0.514029571878725,9.802731992292161e-05,0.07844341574844306,4.381764384931776e-32,0.009872924803622939,9.872924803622938
33,-0.0005263110616103357,9.802731992292161e-08,7.844341574844306e-05,-0.5263110616103357,9.802731992292161e-05,0.07844341574844306,2.190882192465888e-32,0.0049364624018114695,4.936462401811469
34,-0.0005385925513419466,9.802731992292161e-08,7.844341574844306e-05,-0.5385925513419465,9.802731992292161e-05,0.07844341574844306,1.095441096232944e-32,0.0024682312009057347,2.4682312009057346
35,-0.0005508740410735572,9.802731992292161e-08,7.844341574844306e-05,-0.5508740410735572,9.802731992292161e-05,0.07844341574844306,5.47720548116472e-33,0.0012341156004528674,1.2341156004528673
36,-0.0005631555308051679,9.802731992292161e-08,7.844341574844306e-05,-0.5631555308051679,9.802731992292161e-05,0.07844341574844306,2.73860274058236e-33,0.0006170578002264337,0.6170578002264336
37,-0.0005754370205367786,9.802731992292161e-08,7.844341574844306e-05,-0.5754370205367786,9.802731992292161e-05,0.07844341574844306,1.36930137029118e-33,0.00030852890011321684,0.3085289001132168
38,-0.0005877185102683893,9.802731992292161e-08,7.844341574844306e-05,-0.5877185102683893,9.802731992292161e-05,0.07844341574844306,6.8465068514559e-34,0.00015426445005660842,0.1542644500566084
39,-0.0006,9.802731992292161e-08,7.844341574844306e-05,-0.6,9.802731992292161e-05,0.07844341574844306,nan,nan,nan
