case_id,status,score,depth_eV,min_freq_hz,max_freq_hz,mode_spread_hz,center_offset_m,mesh_path,case_dir,report_path,stderr_path,stdout_path,error_message,elapsed_s,param_lc_electrode,param_lc_center,param_lc_far,param_pad_z_top
case_0007,ok,-281.95489358411714,0.008189938780582618,796915.8076343973,1843810.9897958,1046895.1821614028,0.00028069896872133163,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0007/mesh.msh,sweep_002/case_0007,sweep_002/case_0007/auto_case_0007_report.json,sweep_002/case_0007/run_case.stderr.txt,sweep_002/case_0007/run_case.stdout.txt,,283.54856610298157,0.0070849661980847585,0.007226082219568238,0.0522851309309752,0.6648658933469089
case_0001,ok,-310.6697226176818,0.003049445605961449,0.0,1219405.86263383,1219405.86263383,0.00030824615812044396,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0001/mesh.msh,sweep_002/case_0001,sweep_002/case_0001/auto_case_0001_report.json,sweep_002/case_0001/run_case.stderr.txt,sweep_002/case_0001/run_case.stdout.txt,,323.3067829608917,0.006418827284984075,0.007736896411960379,0.05568718270819381,0.34346941631470806
case_0005,ok,-317.0660759623706,0.00016166185593220135,0.0,277711.03740442346,277711.03740442346,0.00031651146219684135,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0005/mesh.msh,sweep_002/case_0005,sweep_002/case_0005/auto_case_0005_report.json,sweep_002/case_0005/run_case.stderr.txt,sweep_002/case_0005/run_case.stdout.txt,,406.2344160079956,0.006834915510996848,0.007886975764917589,0.03361002066071967,0.37773974990589076
case_0006,ok,-329.4997992835399,-0.00017666870122719572,0.0,411626.22829920816,411626.22829920816,0.00032867566348343535,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0006/mesh.msh,sweep_002/case_0006,sweep_002/case_0006/auto_case_0006_report.json,sweep_002/case_0006/run_case.stderr.txt,sweep_002/case_0006/run_case.stdout.txt,,592.8841600418091,0.007743278433240687,0.005356161815788387,0.023709833735205917,0.348358188416732
case_0004,failed,,,,,,,sweep_002/case_0004/mesh.msh,sweep_002/case_0004,,sweep_002/case_0004/run_case.stderr.txt,sweep_002/case_0004/run_case.stdout.txt,run_case.py failed with exit code 1,649.9156360626221,0.0033226437322441803,0.007124859787131361,0.05237721826711306,0.3032493798390305
case_0009,ok,-276.45605580266977,0.007644988228663107,728166.0552832986,1713817.027037872,985650.9717545734,0.0002752511448555873,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0009/mesh.msh,sweep_002/case_0009,sweep_002/case_0009/auto_case_0009_report.json,sweep_002/case_0009/run_case.stderr.txt,sweep_002/case_0009/run_case.stdout.txt,,358.2539031505585,0.00697642798551797,0.007329638266549723,0.05446827601243108,0.5886760726283811
case_0000,ok,-319.3383623969279,0.0018222427085580666,454667.57449275407,1149421.725954426,694754.1514616719,0.0003184126328820401,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0000/mesh.msh,sweep_002/case_0000,sweep_002/case_0000/auto_case_0000_report.json,sweep_002/case_0000/run_case.stderr.txt,sweep_002/case_0000/run_case.stdout.txt,,694.768609046936,0.005836560790747302,0.0031750752865586686,0.03100117273476477,0.41160536907441136
case_0008,failed,,,,,,,sweep_002/case_0008/mesh.msh,sweep_002/case_0008,,sweep_002/case_0008/run_case.stderr.txt,sweep_002/case_0008/run_case.stdout.txt,run_case.py failed with exit code 1,458.8532040119171,0.005217368548728204,0.009811810347855596,0.035141375088334134,0.5760203156366135
case_0015,ok,-322.1786589449079,8.182925232624252e-05,0.0,173083.94035573534,173083.94035573534,0.0003218329002104581,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0015/mesh.msh,sweep_002/case_0015,sweep_002/case_0015/auto_case_0015_report.json,sweep_002/case_0015/run_case.stderr.txt,sweep_002/case_0015/run_case.stdout.txt,,335.35808300971985,0.007937140103819572,0.00747999831897865,0.042277989750985845,0.6423071254949373
case_0012,failed,,,,,,,sweep_002/case_0012/mesh.msh,sweep_002/case_0012,,sweep_002/case_0012/run_case.stderr.txt,sweep_002/case_0012/run_case.stdout.txt,run_case.py failed with exit code 1,435.53987312316895,0.005814106665586401,0.00555382525279059,0.03480723868467531,0.40475351538574383
case_0002,ok,-315.3141571920178,0.0023560793047683313,761043.9314844665,1615931.0526899234,854887.1212054569,0.00031437720727761517,/Users/jaewonkim/Documents/Jaewon_folder/Berkeley/Senior/CS_191B/3d-ion-trap-sim/src/sweep_002/case_0002/mesh.msh,sweep_002/case_0002,sweep_002/case_0002/auto_case_0002_report.json,sweep_002/case_0002/run_case.stderr.txt,sweep_002/case_0002/run_case.stdout.txt,,1098.7553980350494,0.004531530918111622,0.0032085805360664924,0.028745518992144135,0.5526776440516812
