case_id,status,score,rejection_reason,depth_eV,min_freq_hz,max_freq_hz,mode_spread_hz,center_offset_m,physical_min_ok,hessian_status,grad_rel_at_r0,mesh_path,case_dir,report_path,stderr_path,stdout_path,error_message,elapsed_s,param_lc_electrode,param_lc_center,param_lc_far,param_pad_z_top
case_0000,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0000/mesh.msh,sweep_2junc/case_0000,,sweep_2junc/case_0000/run_case.stderr.txt,sweep_2junc/case_0000/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0000/meshgen.stderr.txt,0.1753988265991211,0.003640415835413255,0.006638628715886626,0.04798603996543502,0.5263198373948195
case_0003,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0003/mesh.msh,sweep_2junc/case_0003,,sweep_2junc/case_0003/run_case.stderr.txt,sweep_2junc/case_0003/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0003/meshgen.stderr.txt,0.16955876350402832,0.002712335673584256,0.006160478140751928,0.022336736874117698,0.6667315588057501
case_0001,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0001/mesh.msh,sweep_2junc/case_0001,,sweep_2junc/case_0001/run_case.stderr.txt,sweep_2junc/case_0001/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0001/meshgen.stderr.txt,0.17544007301330566,0.004680591793075738,0.005070593162427693,0.030527940046974324,0.6958016936761682
case_0002,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0002/mesh.msh,sweep_2junc/case_0002,,sweep_2junc/case_0002/run_case.stderr.txt,sweep_2junc/case_0002/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0002/meshgen.stderr.txt,0.17270994186401367,0.003217853244146025,0.006238957941734388,0.03649891825429352,0.45073352735834027
case_0005,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0005/mesh.msh,sweep_2junc/case_0005,,sweep_2junc/case_0005/run_case.stderr.txt,sweep_2junc/case_0005/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0005/meshgen.stderr.txt,0.0868370532989502,0.005749450864049094,0.003177310276467393,0.04905907170255651,0.4112552968161075
case_0006,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0006/mesh.msh,sweep_2junc/case_0006,,sweep_2junc/case_0006/run_case.stderr.txt,sweep_2junc/case_0006/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0006/meshgen.stderr.txt,0.08679771423339844,0.002119098145191609,0.003107054160148602,0.020401570395478588,0.4208545706707363
case_0004,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0004/mesh.msh,sweep_2junc/case_0004,,sweep_2junc/case_0004/run_case.stderr.txt,sweep_2junc/case_0004/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0004/meshgen.stderr.txt,0.08693814277648926,0.005349553422213138,0.007416576386904312,0.029102303296525252,0.7804895626373318
case_0007,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0007/mesh.msh,sweep_2junc/case_0007,,sweep_2junc/case_0007/run_case.stderr.txt,sweep_2junc/case_0007/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0007/meshgen.stderr.txt,0.08739089965820312,0.005928165099751618,0.00328050863510414,0.0495975419408909,0.7863753824789192
case_0011,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0011/mesh.msh,sweep_2junc/case_0011,,sweep_2junc/case_0011/run_case.stderr.txt,sweep_2junc/case_0011/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0011/meshgen.stderr.txt,0.08836197853088379,0.0024136549553726177,0.007920372971601555,0.04981310006966836,0.40842124649990147
case_0010,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0010/mesh.msh,sweep_2junc/case_0010,,sweep_2junc/case_0010/run_case.stderr.txt,sweep_2junc/case_0010/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0010/meshgen.stderr.txt,0.08858299255371094,0.005688263558710506,0.0077486718640766995,0.02091106350453155,0.4140916010337
case_0008,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0008/mesh.msh,sweep_2junc/case_0008,,sweep_2junc/case_0008/run_case.stderr.txt,sweep_2junc/case_0008/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0008/meshgen.stderr.txt,0.08861804008483887,0.0022814074555931457,0.007979183837930694,0.021109882400378435,0.7983287167197501
case_0009,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0009/mesh.msh,sweep_2junc/case_0009,,sweep_2junc/case_0009/run_case.stderr.txt,sweep_2junc/case_0009/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0009/meshgen.stderr.txt,0.08868789672851562,0.0022010699273480477,0.003179002775179455,0.0497031160166997,0.7825233773931445
case_0012,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0012/mesh.msh,sweep_2junc/case_0012,,sweep_2junc/case_0012/run_case.stderr.txt,sweep_2junc/case_0012/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0012/meshgen.stderr.txt,0.08556890487670898,0.005840013439197815,0.003457336696946693,0.021854598578312134,0.40716857470810575
case_0015,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0015/mesh.msh,sweep_2junc/case_0015,,sweep_2junc/case_0015/run_case.stderr.txt,sweep_2junc/case_0015/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0015/meshgen.stderr.txt,0.08540606498718262,0.0020224006963494366,0.003071777841727101,0.022363816273185816,0.4156168287364591
case_0014,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0014/mesh.msh,sweep_2junc/case_0014,,sweep_2junc/case_0014/run_case.stderr.txt,sweep_2junc/case_0014/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0014/meshgen.stderr.txt,0.08560514450073242,0.005405543121703303,0.003008500691705414,0.020230665330940145,0.7640910576140323
case_0013,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0013/mesh.msh,sweep_2junc/case_0013,,sweep_2junc/case_0013/run_case.stderr.txt,sweep_2junc/case_0013/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0013/meshgen.stderr.txt,0.0866849422454834,0.002018214855134659,0.007927997894168735,0.04750107508893001,0.7890407709648491
case_0018,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0018/mesh.msh,sweep_2junc/case_0018,,sweep_2junc/case_0018/run_case.stderr.txt,sweep_2junc/case_0018/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0018/meshgen.stderr.txt,0.08403587341308594,0.005843559911465653,0.00791777449842113,0.020129375087043388,0.42189927142435857
case_0017,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0017/mesh.msh,sweep_2junc/case_0017,,sweep_2junc/case_0017/run_case.stderr.txt,sweep_2junc/case_0017/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0017/meshgen.stderr.txt,0.08402824401855469,0.005950425893962752,0.007945976040942701,0.04913092175533519,0.4405198025336371
case_0016,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0016/mesh.msh,sweep_2junc/case_0016,,sweep_2junc/case_0016/run_case.stderr.txt,sweep_2junc/case_0016/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0016/meshgen.stderr.txt,0.084075927734375,0.005860187296431804,0.007947588208822753,0.04825872541549301,0.7888379174001651
case_0019,failed,,subprocess_crash,,,,,,,,,sweep_2junc/case_0019/mesh.msh,sweep_2junc/case_0019,,sweep_2junc/case_0019/run_case.stderr.txt,sweep_2junc/case_0019/run_case.stdout.txt,Mesh generation failed with exit code 1. See sweep_2junc/case_0019/meshgen.stderr.txt,0.08423495292663574,0.0020525228601970345,0.003136263341580379,0.0487762104053171,0.794754263728362
