case_id,status,score,rejection_reason,depth_eV,min_freq_hz,max_freq_hz,mode_spread_hz,center_offset_m,physical_min_ok,hessian_status,grad_rel_at_r0,mesh_path,case_dir,report_path,stderr_path,stdout_path,error_message,elapsed_s,param_rf_width_um,param_rf_height_um
case_0001,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0001/mesh.msh,sweep_thick_wn3/case_0001,,sweep_thick_wn3/case_0001/run_case.stderr.txt,sweep_thick_wn3/case_0001/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0001/meshgen.stderr.txt,0.04383516311645508,12.332169997119586,245.2639674789639
case_0000,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0000/mesh.msh,sweep_thick_wn3/case_0000,,sweep_thick_wn3/case_0000/run_case.stderr.txt,sweep_thick_wn3/case_0000/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0000/meshgen.stderr.txt,0.04801321029663086,11.025259897133285,278.218059454186
case_0002,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0002/mesh.msh,sweep_thick_wn3/case_0002,,sweep_thick_wn3/case_0002/run_case.stderr.txt,sweep_thick_wn3/case_0002/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0002/meshgen.stderr.txt,0.0444638729095459,11.675369870672336,253.12949059884306
case_0003,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0003/mesh.msh,sweep_thick_wn3/case_0003,,sweep_thick_wn3/case_0003/run_case.stderr.txt,sweep_thick_wn3/case_0003/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0003/meshgen.stderr.txt,0.04343008995056152,10.87732833724786,279.16033873523367
case_0006,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0006/mesh.msh,sweep_thick_wn3/case_0006,,sweep_thick_wn3/case_0006/run_case.stderr.txt,sweep_thick_wn3/case_0006/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0006/meshgen.stderr.txt,0.03989720344543457,10.02603069787205,299.52607459916874
case_0004,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0004/mesh.msh,sweep_thick_wn3/case_0004,,sweep_thick_wn3/case_0004/run_case.stderr.txt,sweep_thick_wn3/case_0004/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0004/meshgen.stderr.txt,0.04016280174255371,12.09347088888321,290.66522219046897
case_0005,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0005/mesh.msh,sweep_thick_wn3/case_0005,,sweep_thick_wn3/case_0005/run_case.stderr.txt,sweep_thick_wn3/case_0005/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0005/meshgen.stderr.txt,0.04259300231933594,10.01035818197969,220.8374421556003
case_0007,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0007/mesh.msh,sweep_thick_wn3/case_0007,,sweep_thick_wn3/case_0007/run_case.stderr.txt,sweep_thick_wn3/case_0007/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0007/meshgen.stderr.txt,0.05005192756652832,12.459991272862771,220.85173693594757
case_0009,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0009/mesh.msh,sweep_thick_wn3/case_0009,,sweep_thick_wn3/case_0009/run_case.stderr.txt,sweep_thick_wn3/case_0009/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0009/meshgen.stderr.txt,0.03608989715576172,12.499344914688855,299.801805105184
case_0011,failed,,subprocess_crash,,,,,,,,,sweep_thick_wn3/case_0011/mesh.msh,sweep_thick_wn3/case_0011,,sweep_thick_wn3/case_0011/run_case.stderr.txt,sweep_thick_wn3/case_0011/run_case.stdout.txt,Mesh generation failed with exit code 2. See sweep_thick_wn3/case_0011/meshgen.stderr.txt,0.036087989807128906,12.484519301799349,221.44812240560321
